Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method
0.69,0.2141480991735537,0.0278181818181818,0.5111111111111111,0.14545454545454545,2.8464646464646464,1.6766302585601807,0,0.0,0.0,0.0,0.0,OPTIMAL,135.0,135.0,0.0,1.3771984000000002,compas_real,47,EMDT-Iso
0.69,0.2101063751342437,0.09083495524082216,0.5555555555555556,0.10909090909090909,2.995959595959596,0.21339654922485352,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,47,MonoRF
0.69,0.1931274362179778,0.09417764682322743,0.4666666666666667,0.18181818181818182,2.6969696969696972,0.03404116630554199,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,47,XGB-Mono
0.71,0.19565710112484094,0.059584999630579165,0.4,0.2,2.4,0.010119199752807617,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,47,LGBM-Mono
0.72,0.2121939934803419,0.14632618867709257,0.5111111111111111,0.09090909090909091,2.737373737373737,0.0046634674072265625,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,47,MonoScore
0.69,0.1957496493298904,0.11336983438581227,0.4222222222222222,0.21818181818181817,2.5474747474747477,0.07210493087768555,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,47,XGB-Mono-Best
0.71,0.19486885364362241,0.06698369429731409,0.4,0.2,2.4,0.025034666061401367,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,47,LGBM-Mono-Best
0.69,0.21033833587257716,0.08232221508006189,0.5777777777777777,0.09090909090909091,3.07070707070707,0.0005905628204345703,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,48,CART
0.64,0.36,0.36,0.5777777777777777,0.18181818181818182,3.252525252525252,1.729191541671753,5,0.0025,0.0025,1.0,1.0,OPTIMAL,129.0,129.0,0.0,1.414744,compas_real,48,ODT
0.63,0.37,0.37,0.5777777777777777,0.2,3.2888888888888883,1.967630386352539,0,0.0,0.0,0.0,0.0,OPTIMAL,133.0,133.0,0.0,1.6458592,compas_real,48,EMDT
0.63,0.23448516513653903,0.037052462617216966,0.5777777777777777,0.2,3.2888888888888883,2.0696234703063965,0,0.0,0.0,0.0,0.0,OPTIMAL,133.0,133.0,0.0,1.6909575000000001,compas_real,48,EMDT-Iso
0.67,0.21116410050478257,0.06803463435294749,0.5555555555555556,0.14545454545454545,3.0686868686868687,0.2724933624267578,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,48,MonoRF
0.65,0.21350223678454622,0.050210127085447316,0.4888888888888889,0.23636363636363636,2.917171717171717,0.049376726150512695,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,48,XGB-Mono
0.66,0.20522572070304806,0.08369647324237928,0.4888888888888889,0.21818181818181817,2.8808080808080807,0.010939598083496094,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,48,LGBM-Mono
0.68,0.2197803352613049,0.10402063090023822,0.5555555555555556,0.12727272727272726,3.032323232323232,0.014336109161376953,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,48,MonoScore
