Dataset,Method,Runs,Accuracy_Mean,Accuracy_Std,Accuracy_CI_L,Accuracy_CI_U,Brier_Mean,Brier_Std,Brier_CI_L,Brier_CI_U,ECE_Mean,ECE_Std,ECE_CI_L,ECE_CI_U,FPR_Mean,FPR_Std,FPR_CI_L,FPR_CI_U,FNR_Mean,FNR_Std,FNR_CI_L,FNR_CI_U,Cost_Mean,Cost_Std,Cost_CI_L,Cost_CI_U,violations_Mean,violations_Std,violations_CI_L,violations_CI_U,viol_rate_Mean,viol_rate_Std,viol_rate_CI_L,viol_rate_CI_U,viol_severity_mean_Mean,viol_severity_mean_Std,viol_severity_mean_CI_L,viol_severity_mean_CI_U,viol_severity_cond_Mean,viol_severity_cond_Std,viol_severity_cond_CI_L,viol_severity_cond_CI_U,viol_severity_max_Mean,viol_severity_max_Std,viol_severity_max_CI_L,viol_severity_max_CI_U,Time_Mean,Time_Std,Time_CI_L,Time_CI_U,RelativeGap_Mean,RelativeGap_Std,RelativeGap_CI_L,RelativeGap_CI_U,OptimalRate,FeasibleRate
bank_marketing,LGBM-Mono-Best,10,0.884,0.024979991993593614,0.8690000000000001,0.9,0.08849377943340223,0.01744156591326011,0.07698001723854006,0.09900787428662804,0.07723390588668064,0.02121243074442147,0.06375579293748145,0.09061462436576417,0.03707865168539326,0.025149471107415045,0.021348314606741574,0.05168539325842696,0.7545454545454546,0.12888588071598023,0.6727272727272726,0.8272727272727272,1.6944841675178755,0.2725644232672563,1.515620531154239,1.851182328907048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05045661926269531,0.013582886873362373,0.041902996301651,0.058830981254577634,,,,,0.0,0.0
bank_marketing,MonoRF,10,0.8939999999999999,0.014966629547095779,0.885,0.9029999999999999,0.08232617610975698,0.009713377394715134,0.07566786596300663,0.08796311775573598,0.057541385744390286,0.021094698192268658,0.045449089831033164,0.07209056687819687,0.0056179775280898875,0.010359038716059425,0.0,0.012359550561797753,0.9181818181818182,0.11818181818181818,0.8363636363636363,0.9818181818181818,1.864453524004086,0.23555500269385848,1.7119458631256383,1.9973442288049033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4589604616165161,0.11349303462526618,0.3891475427150726,0.5305709147453308,,,,,0.0,0.0
bank_marketing,MonoScore,10,0.8959999999999999,0.01200000000000001,0.8880000000000001,0.9030000000000001,0.08410060214629875,0.011762545437171016,0.07598025453298618,0.0909324342534529,0.046878828339233174,0.011693358467093299,0.03996197014745716,0.05458578473350144,0.00898876404494382,0.009795278524810503,0.0033707865168539327,0.015730337078651686,0.8727272727272727,0.060302268915552695,0.8363636363636363,0.9090909090909092,1.7903983656792648,0.13926816823339916,1.7077630234933607,1.8786516853932582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006431269645690918,0.003339249103999081,0.004532518386840821,0.008614831566810607,,,,,0.0,0.0
bank_marketing,ODT,10,0.8879999999999999,0.011661903789690611,0.8800000000000001,0.8950000000000001,0.11200000000000003,0.0116619037896906,0.10500000000000001,0.12000000000000002,0.11199999999999996,0.011661903789690604,0.10500000000000001,0.12,0.023595505617977526,0.015446884365019686,0.014606741573033707,0.03258426966292135,0.8272727272727272,0.11818181818181818,0.7545454545454546,0.890909090909091,1.772522982635342,0.1978805809204341,1.6468105209397341,1.8941777323799793,48.9,74.77760359893864,0.0,97.8,0.02445,0.037388801799469316,0.0,0.0489,0.02445,0.037388801799469316,0.0,0.0489,0.3,0.45825756949558405,0.0,0.6,0.3,0.45825756949558405,0.0,0.6,2.5742071628570558,0.2805639465214195,2.4046854764223102,2.7478553426265715,0.0,0.0,0.0,0.0,1.0,1.0
bank_marketing,XGB-Mono,10,0.882,0.023579652245103215,0.869,0.898,0.08902273019722062,0.01722428364230339,0.07733945751794516,0.09938963700746656,0.07708168504737842,0.025594508631346127,0.06046993765011648,0.09305727164836353,0.03932584269662921,0.02370227315699886,0.024719101123595506,0.05393258426966292,0.7545454545454546,0.14686813110366828,0.6636363636363636,0.8363636363636365,1.7057201225740548,0.2915547609986353,1.5199106230847803,1.876302349336057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641021728515625,0.011047667785060935,0.05738150119781494,0.07114288866519929,,,,,0.0,0.0
bank_marketing,XGB-Mono-Best,10,0.885,0.02202271554554526,0.8720000000000001,0.9,0.09089554601053954,0.01738148191186499,0.07907383571196443,0.10131967761742149,0.07622399764726288,0.022810344816165305,0.062123530129607404,0.09099217332091866,0.03707865168539326,0.020130868390077435,0.024719101123595506,0.04943820224719101,0.7454545454545455,0.15102952478032863,0.6543181818181818,0.8363636363636363,1.6763023493360572,0.2998845124824601,1.4859039836567924,1.8554647599591418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10511362552642822,0.014404533663495513,0.09663901627063752,0.11393853187561034,,,,,0.0,0.0
compas_real,CART,10,0.664,0.02199999999999998,0.651,0.679,0.21800645639477317,0.010089907148653566,0.2122950898967978,0.22440833065809207,0.08395496083606699,0.022586178462190697,0.0706778842515771,0.09775596170083536,0.5311111111111112,0.08517230176327467,0.48,0.5822222222222222,0.17636363636363636,0.07498760228109555,0.13272727272727272,0.22181818181818178,3.0082828282828284,0.30874801076213687,2.819166666666667,3.1981818181818182,87.6,116.48622236127325,28.1875,171.11499999999992,0.043800000000000006,0.05824311118063664,0.014093750000000002,0.08555749999999997,0.0124720719015053,0.01900920467091644,0.0025644701454255675,0.02628815003596631,0.15254549699855707,0.14794208743300974,0.07210262759793645,0.260201738406281,0.22534261681416093,0.2532776909298572,0.09238154299487494,0.4158957850567625,0.0007245302200317383,0.00010500309625876799,0.000662791132926941,0.0007910293340682984,,,,,0.0,0.0
compas_real,EMDT,10,0.651,0.028792360097775933,0.6319999999999999,0.6679999999999999,0.349,0.02879236009777593,0.33199999999999996,0.368,0.34900000000000003,0.02879236009777594,0.332,0.36800000000000005,0.5355555555555556,0.07058835633008265,0.4955555555555556,0.5799999999999998,0.19636363636363635,0.04585280077424906,0.16727272727272727,0.22363636363636363,3.0705050505050506,0.31624060716524494,2.8892878787878784,3.270383838383838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2247071266174316,0.27302258653722167,2.0288849753141402,2.3865472853183745,0.0,0.0,0.0,0.0,1.0,1.0
compas_real,EMDT-Iso,10,0.651,0.028792360097775933,0.6319999999999999,0.6679999999999999,0.22781028358272107,0.01058494663461955,0.22186965347307133,0.23501958951160934,0.03177371509480726,0.02270455603436124,0.021354040073117486,0.04800706102366149,0.5355555555555556,0.07058835633008265,0.4955555555555556,0.5799999999999998,0.19636363636363635,0.04585280077424906,0.16727272727272727,0.22363636363636363,3.0705050505050506,0.31624060716524494,2.8892878787878784,3.270383838383838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251176595687866,0.36020435845445414,2.019800724387169,2.466518197059631,0.0,0.0,0.0,0.0,1.0,1.0
compas_real,LGBM-Mono,10,0.663,0.035510561809129405,0.64,0.6839999999999999,0.21302302166677672,0.016180945651013603,0.20400360368217366,0.2231278988137903,0.08967816180700704,0.019661949451710826,0.07761678117229813,0.10218726620728871,0.4488888888888889,0.07423685817106694,0.40444444444444444,0.49555555555555547,0.24545454545454545,0.02335496832484568,0.2290909090909091,0.2581818181818182,2.735353535353535,0.3730301799473001,2.5096969696969693,2.968484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012213420867919923,0.002244864560347853,0.01088712215423584,0.013600730895996093,,,,,0.0,0.0
compas_real,LGBM-Mono-Best,10,0.6639999999999999,0.03292415526630864,0.644,0.6839999999999999,0.21338889928789467,0.01622759437306086,0.20436894294267757,0.2235464986119178,0.10228410281951392,0.022440843276471736,0.0880158158944315,0.11648787750660408,0.4288888888888889,0.06520622556053869,0.3888888888888889,0.4688888888888889,0.26,0.03987584036265693,0.23454545454545456,0.28545454545454546,2.6644444444444444,0.3197379934423906,2.4682828282828284,2.8638484848484844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028093695640563965,0.005552471725653061,0.02473962426185608,0.03164196491241455,,,,,0.0,0.0
compas_real,MonoRF,10,0.6699999999999999,0.03521363372331801,0.645975,0.6900000000000001,0.21824043185654468,0.007559851942184053,0.2138088741168958,0.22277361857056216,0.10471430916008609,0.024196134078043482,0.09092562525338693,0.12037062047162048,0.5355555555555556,0.052068331172711035,0.5044444444444445,0.5688888888888888,0.1618181818181818,0.048412825293433985,0.13272727272727275,0.1927272727272727,3.0014141414141413,0.27645200607352327,2.8428232323232328,3.1929343434343442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628915e-21,8.326672684688675e-21,0.0,8.326672684688675e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647251129150391,0.02865683306822083,0.2452883505821228,0.2804573380947113,,,,,0.0,0.0
compas_real,MonoScore,10,0.6759999999999999,0.0496386945839634,0.6419749999999999,0.704,0.21997293895224682,0.010753726506368225,0.21375110373514528,0.22644281363010615,0.11843701606975321,0.012309600963723062,0.11148675411744693,0.12689050909289185,0.5266666666666666,0.08137703743822469,0.4800000000000001,0.5777777777777778,0.15818181818181815,0.050811594954480434,0.12727272727272726,0.1909090909090909,2.9496969696969697,0.43554679438725075,2.7125252525252526,3.2410202020202017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009151244163513183,0.002880573228206328,0.0074352437257766725,0.010891556739807129,,,,,0.0,0.0
compas_real,ODT,10,0.634,0.036110940170535566,0.6100000000000001,0.6539999999999999,0.366,0.03611094017053558,0.346,0.39,0.366,0.03611094017053557,0.346,0.38999999999999996,0.5644444444444444,0.06681465057054628,0.52,0.6044444444444443,0.20363636363636362,0.0649475312708791,0.1690909090909091,0.2490909090909091,3.229494949494949,0.30509625718843697,3.0464444444444445,3.4182424242424236,105.2,128.92385349499915,33.597500000000004,195.21249999999992,0.0526,0.06446192674749956,0.016798749999999998,0.09760624999999996,0.0526,0.06446192674749956,0.016798749999999998,0.09760624999999996,0.8,0.4,0.5,1.0,0.8,0.4,0.5,1.0,2.188111996650696,0.344674417996114,1.959578675031662,2.3884995132684703,0.0,0.0,0.0,0.0,1.0,1.0
compas_real,XGB-Mono,10,0.654,0.030397368307141324,0.634,0.672,0.21659641384388273,0.016821951660128814,0.20705888673459613,0.22730948247500393,0.09945319292601199,0.025015264637020144,0.08464201443316416,0.11513109933463855,0.48888888888888893,0.06285393610547087,0.45111111111111113,0.5266666666666666,0.22909090909090907,0.029541957835039843,0.21090909090909088,0.24727272727272726,2.9026262626262627,0.31080504425299915,2.7175707070707067,3.0985909090909085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05729999542236328,0.03506848984831557,0.042235510945320125,0.08162371575832365,,,,,0.0,0.0
compas_real,XGB-Mono-Best,10,0.649,0.031128764832546757,0.629,0.6679999999999999,0.21628834641222738,0.014238650698238577,0.20809395349231877,0.22532981083056425,0.11432600357942282,0.02177466892776811,0.10074598416490481,0.12745311451889577,0.4822222222222223,0.07306347654566041,0.4377777777777777,0.5244444444444444,0.24363636363636365,0.04162008415367126,0.22181818181818183,0.2709090909090909,2.8983838383838383,0.3386572692949638,2.687267676767677,3.1028989898989896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07612218856811523,0.009373289389629036,0.07046199858188629,0.08194206178188324,,,,,0.0,0.0
german_real,CART,10,0.6909999999999998,0.03780211634287159,0.666,0.7140000000000001,0.2216250116746402,0.018505985473169922,0.20999178735847737,0.2332856111599597,0.1074540508148673,0.02922149404850266,0.0889344584297996,0.1251860572544695,0.8700000000000001,0.06574360974438671,0.8300000000000001,0.9100000000000001,0.06857142857142857,0.04642307659791977,0.039999999999999994,0.09714285714285714,4.4871428571428575,0.34046153814625835,4.282380952380953,4.701904761904762,514.9,167.93775632656286,419.595,620.3174999999999,0.25745000000000007,0.08396887816328144,0.20979750000000005,0.31015875,0.10273997609279532,0.03835447700586806,0.08143519258659696,0.12689891239170997,0.40116227304184965,0.08389596133926151,0.3508227269032373,0.4508723350068712,0.743368105324627,0.18588241719006118,0.6193028016669322,0.8555555555555555,0.0008319854736328125,0.00013999240582376681,0.0007658475637435913,0.0009328383207321166,,,,,0.0,0.0
german_real,EMDT,10,0.6950000000000001,0.02061552812808828,0.683,0.7080249999999999,0.305,0.020615528128088305,0.291975,0.317,0.305,0.020615528128088305,0.29197499999999993,0.317,0.8866666666666667,0.04268749491621898,0.86,0.9133333333333334,0.055714285714285716,0.03093772546815388,0.03571428571428571,0.07428571428571429,4.544761904761905,0.1986941495851476,4.416654761904761,4.669523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.482603454589844,0.09248585095430789,15.425040710568428,15.53909973502159,1.0337959011215487,0.147244375755355,0.944330802955265,1.120934747396153,0.0,1.0
