Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method,BudgetSec
0.69,0.31,0.31000000000000005,0.9333333333333333,0.04285714285714286,4.752380952380952,5.535854339599609,447,0.2235,0.2235,1.0,1.0,FEASIBLE,112.0,-16.0,1.1428571428571428,5.003019,german_real,47,ODT,5.0
0.69,0.31,0.31000000000000005,0.9333333333333333,0.04285714285714286,4.752380952380952,5.439091682434082,0,0.0,0.0,0.0,0.0,FEASIBLE,115.0,-17.0,1.1478260869565218,5.0021865000000005,german_real,47,EMDT,5.0
0.69,0.31,0.31,0.8,0.1,4.2,10.503077745437622,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,-13.0,1.1192660550458715,10.0052909,german_real,47,ODT,10.0
0.71,0.29,0.29000000000000004,0.8333333333333334,0.05714285714285714,4.280952380952381,10.504689931869507,0,0.0,0.0,0.0,0.0,FEASIBLE,113.0,-17.0,1.1504424778761062,10.026390600000001,german_real,47,EMDT,10.0
0.72,0.28,0.28,0.8,0.05714285714285714,4.114285714285714,15.592676401138306,260,0.13,0.13,1.0,1.0,FEASIBLE,106.0,-13.0,1.1226415094339623,15.009788700000001,german_real,47,ODT,15.0
0.71,0.29,0.29000000000000004,0.8333333333333334,0.05714285714285714,4.280952380952381,15.536927223205566,0,0.0,0.0,0.0,0.0,FEASIBLE,113.0,-16.0,1.1415929203539823,15.004465900000001,german_real,47,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.272202491760254,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.723005,german_real,48,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.4249541759490967,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.0322382,german_real,48,EMDT,1.0
0.61,0.39,0.38999999999999996,0.9,0.17142857142857143,4.8428571428571425,3.4274566173553467,4,0.002,0.002,1.0,1.0,FEASIBLE,129.0,-30.0,1.2325581395348837,3.0050830000000004,german_real,48,ODT,3.0
0.68,0.32,0.32,0.8666666666666667,0.08571428571428572,4.504761904761906,3.5495495796203613,0,0.0,0.0,0.0,0.0,FEASIBLE,119.0,-30.0,1.2521008403361344,3.0333238000000002,german_real,48,EMDT,3.0
0.69,0.31,0.31,0.8,0.1,4.2,5.415877103805542,0,0.0,0.0,0.0,0.0,FEASIBLE,107.0,-30.0,1.280373831775701,5.0048765,german_real,48,ODT,5.0
0.69,0.31,0.30999999999999994,1.0,0.014285714285714285,5.0285714285714285,5.387239694595337,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,-29.0,1.2543859649122806,5.0030371,german_real,48,EMDT,5.0
0.65,0.35,0.35000000000000003,0.9333333333333333,0.1,4.866666666666667,10.538827419281006,0,0.0,0.0,0.0,0.0,FEASIBLE,103.0,-26.0,1.2524271844660195,10.004819600000001,german_real,48,ODT,10.0
0.66,0.34,0.3400000000000001,0.9,0.1,4.7,10.481037378311157,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-27.0,1.25,10.0040093,german_real,48,EMDT,10.0
0.65,0.35,0.35000000000000003,0.9333333333333333,0.1,4.866666666666667,15.572082996368408,0,0.0,0.0,0.0,0.0,FEASIBLE,103.0,-25.0,1.2427184466019416,15.0043538,german_real,48,ODT,15.0
0.66,0.34,0.3400000000000001,0.9,0.1,4.7,15.516989946365356,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-26.0,1.2407407407407407,15.005552600000001,german_real,48,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.5671119689941406,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.0578383,german_real,49,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.4675672054290771,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.0135965,german_real,49,EMDT,1.0
0.63,0.37,0.37,0.7333333333333333,0.21428571428571427,4.095238095238095,3.49383807182312,444,0.222,0.222,1.0,1.0,FEASIBLE,157.0,-7.0,1.0445859872611465,3.0051069000000004,german_real,49,ODT,3.0
0.3,0.7,0.7,0.0,1.0,2.0,3.494398593902588,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,3.0010311,german_real,49,EMDT,3.0
0.73,0.27,0.26999999999999996,0.8666666666666667,0.014285714285714285,4.361904761904762,5.512392282485962,0,0.0,0.0,0.0,0.0,FEASIBLE,112.0,-7.0,1.0625,5.0036885,german_real,49,ODT,5.0
0.74,0.26,0.26,0.8666666666666667,0.0,4.333333333333334,5.481165170669556,0,0.0,0.0,0.0,0.0,FEASIBLE,115.0,-11.0,1.0956521739130434,5.0066107,german_real,49,EMDT,5.0
0.69,0.31,0.31,0.8666666666666667,0.07142857142857142,4.476190476190477,10.612180471420288,243,0.1215,0.1215,1.0,1.0,FEASIBLE,109.0,-3.0,1.0275229357798166,10.0195734,german_real,49,ODT,10.0
